id,title,description,image_link,video_link,duration,category,language,status_flag,new_comment,schedule,created_at,updated_at,deleted_at,keyword_old,keyword,extra_keyword_count,youtube_id,description_1,admin_id
11,Super Man,Superman was born on the fictional planet Krypton and was named,storie_image/xoEEZVT05SXBJbjbq91Oi7CypsvRZeQaj6HYnwpb.jpg,29351930,5:30,"[""Super Heros""]",1,1,0,,2021-12-27 09:24:48,2022-01-20 07:32:36,2022-01-20 07:32:36,"",,0,,,
12,Tom & Jerry,The plots of each short,storie_image/276i5c9g4kz1UhFvfEEWAmv8ujsUqweVVx3WWyo7.jpg,13489772,30,"[""Super Heros"",""Cartoon""]",1,1,0,,2021-12-29 11:32:17,2022-01-20 08:34:20,2022-01-20 08:34:20,"",,0,,,
13,Let's Talk,The story,storie_image/SNhR6hs4gmWNHAcCWyOIVko1mns255nV3DOp0xhy.jpg,115811254,30,"[""Lala Special Stories""]",5,1,0,,2022-01-01 05:46:18,2022-01-20 07:32:23,2022-01-20 07:32:23,"",,0,,,
14,Micky comes again,"Mickey Mouse is a cartoon character created in 1928 by Walt Disney, and is the mascot of The Walt Disney Company. An anthropomorphic mouse who typically wears red shorts, large yellow shoes,",storie_image/8hmLh503Beyf7sqR0J37e5r12QnrmFeZJBYOwakC.jpg,114640691,30,"[""Fantasy""]",1,1,0,,2022-01-04 09:01:10,2022-01-20 07:32:28,2022-01-20 07:32:28,"",,0,,,
15,Comy ghost,"A little gory, slightly spooky, this is a story about a bloody finger inching ever closer to a man spending the night alone in a haunted house. It ends with a joke,",storie_image/Y92MDZwSMqlVTiegcc2oBQPyFSF4wDrlxb2WfQgK.jpg,514148017,7.45,"[""Ghost Stories""]",1,1,0,,2022-01-04 09:25:39,2022-01-20 07:33:32,2022-01-20 07:33:32,"",,0,,,
16,Dora the explorer,Dora nice,storie_image/iAK8Ri95nmoMN7ao5HQHFqxPfgcHWTaz5tQD4LFw.jpg,187132780,7.45,"[""Dora Buji""]",5,1,0,,2022-01-06 06:33:41,2022-01-20 07:31:48,2022-01-20 07:31:48,"",,0,,,
17,bheem stories,Chhota Bheem,storie_image/wG5q8inEJHWQZZpcDgcA8LqHx943l0arFxCLqRqX.jpg,124592774,7.45,"[""Chhota Bheem""]",1,1,0,,2022-01-06 06:43:30,2022-01-20 07:31:45,2022-01-20 07:31:45,"",,0,,,
18,Aqua Stories,"Aquaman, American comic strip superhero, defender of the underwater kingdom of Atlantis, and sometime member of the superhero consortium Justice League of America",storie_image/M7V0dZoSBnsnNUdNevJv9Nkqev0kTNv2UXKzlqAR.jpg,34321188,30,"[""Aquaman""]",5,1,0,,2022-01-06 06:50:14,2022-01-20 07:31:36,2022-01-20 07:31:36,"",,0,,,
19,Minnal comes,Minnal Murali ( transl. Lightning Murali) is a 2021 Indian Malayalam-language superhero film directed by Basil Joseph and produced by Sophia,storie_image/8XdQwlK8GD90a333dTJT0HhSBnSeyWUskJhuaJRJ.jpg,44788777,7.45,"[""Minnal Stories""]",5,1,0,,2022-01-06 06:55:17,2022-01-20 07:31:33,2022-01-20 07:31:33,"",,0,,,
20,notification story,nil,storie_image/jLvq0uLgABSQDqYzRqgSY0MwgRlpGBszLqAR06yR.png,1234,5,"[""Super Heros"",""Cartoon"",""Ghost Stories""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"",""\u0ba4\u0bae\u0bbf\u0bb4\u0bcd""]",1,0,,2022-01-10 08:36:13,2022-01-10 11:44:21,2022-01-10 11:44:21,"",,0,,,
21,test,3,storie_image/ACJ8fAGqqLfXOsdG3qOqJzknZr8D0BdylMPWlB0B.png,33,3,"[""Super Heros""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2022-01-10 08:42:28,2022-01-10 11:44:29,2022-01-10 11:44:29,"",,0,,,
22,test,3,storie_image/hT52F7o7XUoGxzq7AD7ENiaLz1bHPPuY8EcuXA17.png,33,3,"[""Super Heros""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2022-01-10 08:46:42,2022-01-10 11:44:43,2022-01-10 11:44:43,"",,0,,,
23,test,nil,storie_image/U9tabceZMCnuHbinGUZq3jrEpfuOWAyNxhKMZ649.png,345,5,"[""Super Heros"",""Cartoon""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2022-01-10 08:48:53,2022-01-10 11:44:55,2022-01-10 11:44:55,"",,0,,,
24,test,nil,storie_image/RkaiyQlubt4z87uauLPhA73mkiQ428CRux659Eg1.png,234,3,"[""Super Heros"",""Cartoon""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2022-01-10 09:19:59,2022-01-10 11:45:05,2022-01-10 11:45:05,"",,0,,,
25,super,super,storie_image/Qn01rItPj6Jcl5pUr7iwXIMY1X4j0jRNqVIbugG7.png,333,5,"[""Super Heros""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2022-01-10 09:29:25,2022-01-12 08:36:15,2022-01-12 08:36:15,"",,0,,,
26,zzz,test,storie_image/zhfhqzMQTg4skI1hqwpZqWC8bNjVJMlrWp4F2XDe.png,222,5,"[""Super Heros"",""Cartoon""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02"",""\u0ba4\u0bae\u0bbf\u0bb4\u0bcd"",""\u0939\u093f\u0928\u094d\u0926\u0940""]",1,0,,2022-01-10 09:30:47,2022-01-10 11:44:07,2022-01-10 11:44:07,"",,0,,,
27,Dore's new Friend,"Dora is a little Hispanic girl with who goes on adventures with her red boot wearing monkey, conveniently named Boots. During her adventures we also get to meet her talking backpack (or la mochila) and the map who sings an annoyingly cute song.",storie_image/ABgojV0cekLrT2fSZ9YSq3A14G6cKhcHhIfplpgA.jpg,9828009,11,"[""Dora Buji""]",5,1,0,,2022-01-10 11:31:30,2022-01-20 07:31:29,2022-01-20 07:31:29,"",,0,,,
28,Kaattile kannan,Kattile Kannan is the first popular animation video in Kerala,storie_image/3ugQqqEPrvHP4aE7QxSaUvEtITzBWq9eNiO6TKWu.png,4265315,30,"[""Lala Special Stories""]",5,1,0,,2022-01-11 06:19:18,2022-01-20 07:31:17,2022-01-20 07:31:17,"",,0,,,
29,Maya Kannan,"It is a fun watch with lots of sweet little lessons on friendship and unity among friends. In Malayalam, Mayakannan got aired on channels like Kochu TV",storie_image/TYdmyzSRzoMCbIBrXPAelEEOwWXeTwSUOCm0VApC.webp,8023563,40,"[""Lala Special Stories""]",1,1,0,,2022-01-11 06:37:59,2022-01-20 07:31:14,2022-01-20 07:31:14,"",,0,,,
30,test,wydttqdqfw,storie_image/5J6m9QmlvcxxbKphQY1Hu3pRYaFQS1DcQFEFjmyw.webp,39512055,12,"[""Super Heros""]","[""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2022-01-11 11:52:50,2022-01-12 08:35:12,2022-01-12 08:35:12,"",,0,,,
31,test1,wydttqdqfweteryuyr,storie_image/D9yvVDjqMv4uDMynabRoGboOmrMaTeZ2eXTE3LaT.png,39512055,14,"[""Ghost Stories""]","[""English"",""\u0d2e\u0d32\u0d2f\u0d3e\u0d33\u0d02""]",1,0,,2022-01-11 11:58:32,2022-01-12 08:35:06,2022-01-12 08:35:06,"",,0,,,
32,Maya Kannannnnn,Kattile Kannan is the first popular animation video in Kerala,storie_image/mxEpItIBAGFelNoe1sg6ZAOZ1wJMPoaik0SnDERF.png,8023563,40,"[""Ghost Stories""]","[""English""]",1,0,,2022-01-11 12:14:46,2022-01-12 08:35:23,2022-01-12 08:35:23,"",,0,,,
33,test2,sdsdgdfkghkkgxw,storie_image/AzQCAo4NEDUY3hjyz91i0s1UF2FtvoSuJAEy02Et.png,39512055,12,"[""Lala Special Stories""]","[""5""]",1,0,,2022-01-12 03:49:56,2022-01-12 08:35:29,2022-01-12 08:35:29,"",,0,,,
34,test2,sdsdgdfkghkkgxw,storie_image/BMGHJ3qQngaquRheFDTtogumxHGLtCfiCmROtN7B.png,39512055,12,"[""Lala Special Stories""]","[""5""]",1,0,,2022-01-12 03:50:40,2022-01-12 08:35:02,2022-01-12 08:35:02,"",,0,,,
35,test2,sdsdgdfkghkkgxw,storie_image/4EHm392KcXbODSTzYNd2brNpxCs6oL7ycRN4wzgX.png,39512055,15,"[""Lala Special Stories""]","[""1"",""5""]",1,0,,2022-01-12 03:51:11,2022-01-12 08:35:35,2022-01-12 08:35:35,"",,0,,,
36,test3,gkkgukhh,storie_image/5GVmGViT9GzJtPEe451t9BksAln9HMWDUfDAcRns.png,8023563,15,"[""Super Heros""]","[""1"",""5""]",1,0,,2022-01-12 03:54:02,2022-01-12 08:34:37,2022-01-12 08:34:37,"",,0,,,
37,Soothran and sheru,"The story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger. The strips depict the adventures of the two friends, and is noted for its funny twist endings.",storie_image/yDczmkfxrVNoNnnyJQ5o4d6B6jZFLsssUY92gbLb.jpg,4265315,30 min,"[""Cartoon""]","[""5""]",1,0,,2022-01-12 04:08:27,2022-01-12 08:34:43,2022-01-12 08:34:43,"",,0,,,
38,Sootharn and Sheru,"The story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger. The strips depict the adventures of the two friends, and is noted for its funny twist endings",storie_image/eflxkfpPQNNRBtfEbAOs9AdezL1py51JfOaPibfY.jpg,4265315,30 min,"[""Cartoon""]","[""1"",""7""]",1,0,,2022-01-12 04:11:17,2022-01-12 08:36:36,2022-01-12 08:36:36,"",,0,,,
39,Sootharn and Sheru,"The story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger. The strips depict the adventures of the two friends, and is noted for its funny twist endings",storie_image/URub7vFJBJpmlvEjZ5Oltr0vrLaxQd48HA30sKXe.jpg,4265315,30 min,"[""Cartoon""]","[""1"",""5"",""6"",""7""]",1,0,,2022-01-12 04:11:48,2022-01-12 08:36:43,2022-01-12 08:36:43,"",,0,,,
40,Sootharn and Sheru,"The story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger. The strips depict the adventures of the two friends, and is noted for its funny twist endings",storie_image/2DSKudafZ0UXnJvFlHMEqovwSjRwHUI5MZV4KWj6.jpg,4265315,30 min,"[""Cartoon""]","[""1"",""5"",""6"",""7""]",1,0,,2022-01-12 04:13:03,2022-01-12 08:34:48,2022-01-12 08:34:48,"",,0,,,
41,Sootharn and Sheru,"The story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger.",storie_image/5S6PY4Y3qdN2UX7fT9sPGJ0JMhMamWp4PC337hJ1.jpg,4265315,30 min,"[""Cartoon""]",6,1,0,,2022-01-12 04:13:38,2022-01-12 08:36:50,2022-01-12 08:36:50,"",,0,,,
42,Sootharn and Sheru,"The story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger.",storie_image/VJTh6030hvsKl805P5MPVaVhZMTWe553bxalKqqU.jpg,4265315,30 min,"[""Cartoon""]",5,1,0,,2022-01-12 04:16:19,2022-01-12 08:36:31,2022-01-12 08:36:31,"",,0,,,
43,test,test,storie_image/d5AVRbrWWP3ZkpPNs4OJgumSQbCjKBMWdpV4Cilp.png,123,2,"[""Super Heros"",""Cartoon""]",1,1,0,,2022-01-12 06:48:01,2022-01-12 08:34:55,2022-01-12 08:34:55,"",,0,,,
44,Soothra and Sheru,"he story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger. The strips depict the adventures of the two friends, and is noted for its funny twist endings",storie_image/Q4pTGPWGWecSOk20rb299yixmdYJjgBVWmhMBcwR.jpg,13254665,30,"[""Cartoon""]",7,1,0,,2022-01-12 07:00:26,2022-01-19 05:38:03,2022-01-19 05:38:03,"",,0,,,
45,Mowgly,"Mowgli, fictional character, an Indian boy raised by wolves who is the central figure in Rudyard Kipling's collection of children's stories included in The Jungle Book (1894) and its sequel (1895).",storie_image/tHh4dAQ0oUtPyH54RzVfT7mMfMrOautmzT7x3V9y.jpg,4265315,30,"[""Super Heros""]",7,1,0,,2022-01-12 07:09:15,2022-01-20 07:31:10,2022-01-20 07:31:10,"",,0,,,
46,Soothran Sheru,"The story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger. The strips depict the adventures of the two friends, and is noted for its funny twist endings.",storie_image/lK3qVsmM7abaiFNjOLOAi0GmrRIk3uyPpt3JDAMZ.jpg,4265315,34,"[""Super Heros""]",5,1,0,,2022-01-12 08:46:54,2022-01-20 07:31:06,2022-01-20 07:31:06,"",,0,,,
47,Soothran Sheru,"The story revolves around a smart jackal named Soothran who lives in a cave in the jungle. His best friend, Sheru, is a dumb and cowardly tiger. The strips depict the adventures of the two friends, and is noted for its funny twist endings.",storie_image/z2urOv9VfZD4epZMQFDhrr9PxlfM9DAbu4QUWmFt.jpg,4265315,34,"[""Super Heros""]",5,1,0,,2022-01-12 08:46:58,2022-01-20 07:31:03,2022-01-20 07:31:03,"",,0,,,
48,shikari sambu,cbvcbdifrdiydihdhd,storie_image/3ARvOOsYJpZpg8ach6OgrJxPwg28BqyWeeMhzNds.png,4265315,12,"[""Cartoon""]",5,1,0,,2022-01-12 10:47:03,2022-01-20 07:30:59,2022-01-20 07:30:59,"",,0,,,
49,pappus,"ghhkk,kgg",storie_image/f7Dbw8XCGMY07t6eRSyP2BIvSK8SsBzDA27KkVvy.png,4265315,12,"[""Cartoon""]",1,1,0,,2022-01-12 10:50:20,2022-01-20 07:30:11,2022-01-20 07:30:11,"",,0,,,
50,MR. MCKAY THE WINTER COAT THIEF,"Mr. McKay is a most mischievous fellow. His hair and eyes have been known to change color with the seasons. If you ever feel a warm breeze on a very cold winter day, be sure to keep your coat on,",storie_image/Sikt2yo6zXbkC9a4q8GaODqxUKW5G6a9zZY335K9.png,4265315,12,"[""Super Heros""]",1,1,0,,2022-01-19 11:55:19,2022-01-20 07:30:07,2022-01-20 07:30:07,"",,0,,,
51,ഐകമത്യം മഹാബലം,"എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/hdvsm1CE0DstuqCAkMc7LNqAAOFlIzuuzL7hMc1z.jpg,668091440,16:28,"[""Cartoon"",""Lala Special Stories""]",5,1,0,,2022-01-20 07:27:01,2022-01-20 07:29:47,2022-01-20 07:29:47,"",,0,,,
52,ഐകമത്യം മഹാബലം,"എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/3p1X7aLC7F4gHdvMa8qXIxzzmIzBXcSZpSq6MjX4.jpg,668111728,16:28,"[""Cartoon""]",5,1,0,,2022-01-20 07:50:51,2022-01-20 07:52:39,2022-01-20 07:52:39,"",,0,,,
53,ഐകമത്യം മഹാബലം,"എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/wIlgkbbJm9OtDWuEF4ThlqAfUm7w2LWHtaYY3cwz.jpg,668111728,16:28,"[""Cartoon""]",5,1,0,,2022-01-20 07:53:29,2022-02-03 04:16:03,2022-02-03 04:16:03,"",,0,,,
54,"കോഴിയമ്മയും പരുന്തും, പൊന്മുട്ടയിടുന്ന താറാവ്, മല്ലനും മാധേവനും","എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/y1ibmtLwgmdvAzIOo7uAXRe3Ku57qVfEEmugV8g0.jpg,668125475,20:10,"[""Cartoon""]",5,1,0,,2022-01-20 08:47:05,2022-05-21 07:37:14,2022-05-21 07:37:14,"",,0,,,
55,"കോഴിയമ്മയും കുറുക്കനും , കോഴിയും താറാവും","എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/bUJmymrpOk8JL79h8F8BRO2luRs4OqngYTNNLtgw.jpg,668126683,15:55,"[""Cartoon""]",5,1,0,,2022-01-20 08:50:59,2022-05-21 07:38:59,2022-05-21 07:38:59,"",,0,,,
56,"മുയലിന്റെ കൗശലം , സിംഹവും കടുവയും.","എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/KIE2xBUiK2ZoUzElchf8O3J9aPmmN2bAnSkg2cDc.jpg,668130239,15:48,"[""Cartoon""]",5,1,0,,2022-01-20 09:02:38,2022-05-21 07:38:27,2022-05-21 07:38:27,"",,0,,,
57,"പ്രാവും ഉറുമ്പും , പട്ടിയും കൊക്കും","എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/5SDtidYjJyKluSqfxHYsNaGhbGgTZMZLrO3o3Pdw.jpg,668132352,12:50,"[""Cartoon""]",5,1,0,,2022-01-20 09:10:03,2022-05-21 07:38:23,2022-05-21 07:38:23,"",,0,,,
58,പുലി വരുന്നേ... പുലി..,"എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/q9M5SdorAENTBYANCfxw6cD6WNykgwzkVt7OcJiV.jpg,668134278,16:16,"[""Cartoon""]",5,1,0,,2022-01-20 09:14:57,2022-05-21 07:39:05,2022-05-21 07:39:05,"",,0,,,
59,"പിശുക്കന് പറ്റിയ അമളി , ആനകളും എലികളും","എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/Sz1O9ycGxlc551IYnRIrmDci9LRkA5mgFHuGx7I9.jpg,668135581,14:24,"[""Cartoon""]",5,1,0,,2022-01-20 09:19:14,2022-05-21 07:37:36,2022-05-21 07:37:36,"",,0,,,
60,"തോട്ടക്കാരനായ കുരങ്ങൻ, പ്രാവുകളും എലികളും","എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/dAbRc0gDk3DV4xjBw4KqfOYk3IsHzHyVGaWoWDqM.jpg,668136790,15:31,"[""Cartoon""]",5,1,0,,2022-01-20 09:26:12,2022-05-21 07:37:27,2022-05-21 07:37:27,"",,0,,,
61,വനദേവതയും മരംവെട്ടുകാരനും,"എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/IZkbWm8hx3O7ZrF6LkZRaH6vrT7WseB11xUWs6P1.jpg,668138834,14:06,"[""Cartoon""]",5,1,0,,2022-01-20 09:30:46,2022-05-21 07:37:20,2022-05-21 07:37:20,"",,0,,,
62,കുറുക്കനും ആട്ടിൻ കുട്ടികളും+ വേടനെ പറ്റിച്ച പക്ഷികൾ,"എല്ലാ കൂട്ടുകാർക്കും കഥകളുടെയും , അറിവിന്റെയും ലോകത്തേക്ക് സ്വാഗതം .",storie_image/U8Eq2pAHuj1Enstmp7tQXBfwkkPTHTxWzVVMZG6C.jpg,668140422,15:20,"[""Cartoon""]",5,1,0,,2022-01-20 09:36:37,2022-05-21 07:39:09,2022-05-21 07:39:09,"",,0,,,
63,Lemonadeooo,“LALA” is a unique channel that uploads original stories for kids to learn the English language.,storie_image/FSCJkDnGHXgKoY879oqL2mag2ZkgvkXErGGO5AWK.jpg,668146512,22:54,"[""Cartoon""]",1,1,0,,2022-01-20 09:57:53,2022-05-21 07:39:14,2022-05-21 07:39:14,"",,0,,,
64,The Monkey Kockey,“LALA” is a unique channel that uploads original stories for kids to learn the English language.,storie_image/5jN7KTVfMGdVv6Ci9sr3nJ7NO6eBtqIK37sFQOn2.jpg,668148273,13:35,"[""Cartoon""]",1,1,0,,2022-01-20 10:01:54,2022-05-21 07:39:26,2022-05-21 07:39:26,"",,0,,,
65,The Grumpy Watchman,“LALA” is a unique channel that uploads original stories for kids to learn the English language.,storie_image/EIliF3q2CL2unuYA0qOHIU4vEcztJl4XGP1im5Aa.jpg,668149782,14:17,"[""Cartoon""]",1,1,0,,2022-01-20 10:07:31,2022-05-21 07:39:30,2022-05-21 07:39:30,"",,0,,,
66,An arrogant celebrity,“LALA” is a unique channel that uploads original stories for kids to learn the English language.,storie_image/E1SY6u5Kq4sG3MPI0CjnZapddvKWbaRG2CgVSbYv.jpg,668152010,16:39,"[""Cartoon""]",1,1,0,,2022-01-20 10:12:36,2022-05-21 07:39:35,2022-05-21 07:39:35,"",,0,,,
67,test story,nil,storie_image/nr7mViIkpFxsoVDXAOV7PxTreG4IhdagtzJjl0KF.png,123456,1,"[""Super Heros"",""Cartoon""]",1,1,0,,2022-01-21 05:14:41,2022-04-06 05:15:51,2022-04-06 05:15:51,"",,0,,,
68,தமிழ்,தமிழ்,storie_image/qHWxm6C3EdpdxNE6xXHBu1G6wIpfrTGlA7TBpPkP.png,123456,1,"[""Super Heros"",""Cartoon"",""Ghost Stories""]",6,1,0,,2022-01-21 05:19:26,2022-04-14 10:07:26,2022-04-14 10:07:26,"",,0,,,
69,avengers,tr,storie_image/VckdMy7lEA0lWweGdXUdC4KzrqD2SRuIDAggLEZW.jpg,276105468,.50,"[""Super Heros""]",1,1,0,,2022-02-28 04:30:08,2022-04-14 10:06:57,2022-04-14 10:06:57,"",,0,,,
70,spidermN,sc,storie_image/uQkRs1WHkrhECk8dBkJ0Iq2U4upf4rFc8nT0i5qR.jpg,283126318,33,"[""Super Heros""]",5,1,0,,2022-03-01 04:13:58,2022-04-14 10:06:50,2022-04-14 10:06:50,"",,0,,,
71,spidermN,sc,storie_image/rcYhqZGc6h5rstWPgCe13wMCsCQbQwFmpakQPvNw.jpg,283126318,33,"[""Super Heros""]",5,1,0,,2022-03-01 04:14:00,2022-04-14 12:20:08,2022-04-14 12:20:08,"",,0,,,
72,പിശുക്കൻ നാഥുറാമിന്റെ അതി ബുദ്ധി,"കുട്ടികളുടെ മൊബൈൽ , TV Screen time കുറയ്ക്കുക എന്ന ഉദ്ദേശത്തോടെയാണ് നമ്മൾ വീഡിയോ ഇല്ലാതെ , കുട്ടികളുമായി സംവദിക്കുന്ന തരത്തിൽ ഓരോ കഥകളും തയ്യാറാക്കിയിരിക്കുന്നത് .",storie_image/um7RjIuX5wymCbGuoGGFI9hycZR76kp4KcuaBase.jpg,699384678,09.22,"[""Cartoon""]",5,1,0,,2022-04-14 10:48:32,2022-05-21 07:39:40,2022-05-21 07:39:40,"",,0,,,
73,റോസാച്ചെടിയും കള്ളിമുള്ളും,"കുട്ടികളുടെ മൊബൈൽ , TV Screen time കുറയ്ക്കുക എന്ന ഉദ്ദേശത്തോടെയാണ് നമ്മൾ വീഡിയോ ഇല്ലാതെ , കുട്ടികളുമായി സംവദിക്കുന്ന തരത്തിൽ ഓരോ കഥകളും തയ്യാറാക്കിയിരിക്കുന്നത് .",storie_image/Cw9AlJctYH3TMwywftAIzduK6ai9IxwHFUAQdKK1.jpg,699387378,05:38,"[""Cartoon""]",5,1,0,,2022-04-14 10:57:23,2022-05-21 07:37:39,2022-05-21 07:37:39,"",,0,,,
74,മുത്തശ്ശൻ മാവും ഇത്തിൾകണ്ണിയും,"കുട്ടികളുടെ മൊബൈൽ , TV Screen time കുറയ്ക്കുക എന്ന ഉദ്ദേശത്തോടെയാണ് നമ്മൾ വീഡിയോ ഇല്ലാതെ , കുട്ടികളുമായി സംവദിക്കുന്ന തരത്തിൽ ഓരോ കഥകളും തയ്യാറാക്കിയിരിക്കുന്നത് .",storie_image/2xG7KZ1snDC6BbNqzP1itdSf7R75dEbOjWjXTKtU.jpg,699388628,07:39,"[""Cartoon""]",5,1,0,,2022-04-14 11:00:47,2022-05-21 07:39:43,2022-05-21 07:39:43,"",,0,,,
